// FORMAT: type, timestamp, src, dst, flags, protocol, protocol type

//ICMP Flood attack
WiFi,1462825868623,10.0.0.12,10.0.0.13.22:,I,ICMP,Response
WiFi,1462825868623,10.0.0.14,10.0.0.13.22:,I,ICMP,Response
WiFi,1462825868623,10.0.0.15,10.0.0.13.22:,I,ICMP,Response
WiFi,1462825868623,10.0.0.16,10.0.0.13.22:,I,ICMP,Response
WiFi,1462825868624,10.0.0.17,10.0.0.13.22:,I,ICMP,Response

//Normal traffic, no attack
WiFi,1462825868640,10.0.0.12.42266,10.0.0.13.22:,I,ICMP,Response
WiFi,1462825868641,10.0.0.12.42266,10.0.0.13.21:,I,ICMP,Response
WiFi,1462825868644,10.0.0.12.42276,10.0.0.13.23:,I,ICMP,Response
WiFi,1462825868645,10.0.0.12.42278,10.0.0.13.24:,I,ICMP,Response
WiFi,1462825868649,10.0.0.12.42279,10.0.0.13.25:,I,ICMP,Response
WiFi,1462825868656,10.0.0.12.42287,10.0.0.13.26:,I,ICMP,Response
