// FORMAT: type, timestamp, src, dst, flags, protocol, protocol type

//Smurf attack
WiFi,1462825868623,10.0.0.11,10.0.0.12,a,ICMP,Request
WiFi,1462825868623,10.0.0.11,10.0.0.14,b,ICMP,Request
WiFi,1462825868623,10.0.0.11,10.0.0.15,c,ICMP,Request
WiFi,1462825868623,10.0.0.11,10.0.0.16,d,ICMP,Request
WiFi,1462825868623,10.0.0.12,10.0.0.13,e,ICMP,Response
WiFi,1462825868623,10.0.0.14,10.0.0.13,f,ICMP,Response
WiFi,1462825868623,10.0.0.15,10.0.0.13,g,ICMP,Response
WiFi,1462825868623,10.0.0.16,10.0.0.13,h,ICMP,Response
WiFi,1462825868624,10.0.0.17,10.0.0.13,i,ICMP,Response

//Normal traffic, no attack
WiFi,1462825868640,10.0.0.12,10.0.0.13,j,ICMP,Response
WiFi,1462825868641,10.0.0.12,10.0.0.13,k,ICMP,Response
WiFi,1462825868644,10.0.0.12,10.0.0.13,l,ICMP,Response
WiFi,1462825868645,10.0.0.12,10.0.0.13,m,ICMP,Response
WiFi,1462825868649,10.0.0.12,10.0.0.13,n,ICMP,Response
WiFi,1462825868656,10.0.0.12,10.0.0.13,o,ICMP,Response
