// FORMAT: type, timestamp, src, dst, flags

//TCP SYN Flood attack
WiFi,1462825868623,10.0.0.12,10.0.0.13.22:,S
WiFi,1462825868624,10.0.0.12,10.0.0.13.22:,S
WiFi,1462825868625,10.0.0.12,10.0.0.13.22:,S
WiFi,1462825868626,10.0.0.12,10.0.0.13.22:,S
WiFi,1462825868627,10.0.0.12,10.0.0.12.42266:,S

//Normal traffic, no attack
WiFi,1462825868640,10.0.0.12.42266,10.0.0.13.22:,S
WiFi,1462825868641,10.0.0.12.42266,10.0.0.13.22:,S
WiFi,1462825868644,10.0.0.12.42276,10.0.0.13.22:,S
WiFi,1462825868645,10.0.0.12.42278,10.0.0.13.22:,S
WiFi,1462825868649,10.0.0.12.42279,10.0.0.13.22:,S
WiFi,1462825868656,10.0.0.12.42287,10.0.0.13.22:,S
